Rank,Community,Score,Vitality,Equity,Economy,Eduation,Environment,Food & Nutrition,Population Health,Housing,Public Safety,Infrastructure
129,"Albemarle County, Virginia",71.6,58.1,30.2,78.3,76.6,66.3,60.1,87.8,49.8,74.4,78.1
130,"Chickasaw County, Iowa",71.6,60.4,65.7,59.1,56.3,60.7,55.3,83.4,76.5,70.6,72.2
131,"Litchfield County, Connecticut",71.6,57.2,67.1,72.5,73.8,71.4,69.0,77.9,41.5,63.2,58.8
132,"Lake County, Minnesota",71.5,72.9,65.1,63.5,53.5,76.3,63.8,76.4,42.0,83.2,61.6
133,"Warren County, Iowa",71.5,68.5,65.7,78.0,70.2,63.2,34.8,76.2,59.4,62.7,74.4
134,"Monroe County, Illinois",71.5,69.3,68.6,74.5,64.9,52.6,37.5,71.8,59.4,77.5,79.5
135,"Hood River County, Oregon",71.4,58.0,53.0,63.5,58.3,69.0,79.6,83.1,48.6,73.0,73.7
136,"Nassau County, New York",71.4,53.7,37.5,83.7,85.8,51.6,67.1,82.9,32.1,100.0,58.5
137,"DuPage County, Illinois",71.3,50.6,37.5,83.2,79.8,51.5,53.7,86.5,45.6,82.3,84.8
138,"New Kent County, Virginia",71.3,80.0,79.3,72.9,52.3,61.9,50.9,74.3,52.8,61.5,60.8
139,"Park County, Wyoming",71.3,67.4,58.7,58.6,77.1,83.7,53.6,71.9,62.3,58.5,71.9
140,"Botetourt County, Virginia",71.1,68.6,78.2,70.3,65.1,65.3,43.3,74.8,59.9,67.0,56.9
141,"Montgomery County, Pennsylvania",71.1,56.1,42.5,83.0,86.0,42.6,57.3,80.6,54.3,73.0,75.6
142,"Sussex County, New Jersey",71.1,55.3,76.7,77.9,82.8,68.2,54.4,70.8,37.5,76.6,46.9
143,"Platte County, Missouri",71.0,67.3,57.8,86.6,72.8,55.5,35.5,68.1,57.5,69.7,81.9
144,"Washington County, Vermont",71.0,62.2,67.1,68.0,61.3,64.3,70.5,77.7,54.7,64.2,61.3
145,"Shelby County, Iowa",70.9,60.4,60.4,63.0,59.1,71.7,50.7,76.2,71.5,80.6,67.2
146,"Washakie County, Wyoming",70.9,57.6,80.1,55.8,68.2,71.8,69.4,67.1,31.0,75.5,82.1
147,"Carson County, Texas",70.8,59.5,72.5,80.3,68.7,72.8,43.8,62.8,77.3,52.2,63.9
148,"Valley County, Idaho",70.8,76.6,66.3,57.3,56.0,81.5,67.7,88.1,47.4,48.2,58.2
149,"Grand County, Colorado",70.8,51.9,50.7,68.6,33.3,78.4,83.9,88.9,42.2,80.4,78.8
150,"York County, Virginia",70.8,56.6,53.8,71.3,86.5,59.8,44.1,83.1,40.9,72.0,83.7
151,"Putnam County, New York",70.7,52.9,57.2,83.7,83.8,69.0,56.0,75.9,35.7,87.2,46.3
152,"Putnam County, Illinois",70.7,63.8,72.4,58.6,42.0,64.4,74.8,72.1,75.5,78.0,55.5
153,"Emmet County, Michigan",70.7,65.0,68.2,55.8,50.3,75.8,59.3,83.9,51.0,77.9,67.6
154,"Roanoke County, Virginia",70.7,58.6,75.0,66.7,75.0,61.4,44.6,69.4,56.6,70.8,76.0
155,"Hendricks County, Indiana",70.7,69.8,61.9,81.5,71.8,53.5,30.6,69.8,61.3,73.3,76.6
156,"Delaware County, Iowa",70.6,58.3,59.8,64.0,58.3,64.2,51.8,79.9,76.4,70.4,73.7
157,"Ada County, Idaho",70.6,59.5,59.5,68.2,52.7,59.9,49.4,86.4,64.0,69.2,83.5
158,"Union County, Ohio",70.6,63.4,60.0,76.9,66.6,63.9,43.7,66.2,66.8,80.7,67.6
159,"Burleigh County, North Dakota",70.6,67.0,57.8,78.3,52.5,63.4,34.7,82.9,68.8,63.3,80.7
160,"Powhatan County, Virginia",70.5,75.1,68.1,71.0,56.7,61.3,44.7,72.1,71.5,69.8,59.2
161,"Park County, Colorado",70.5,81.9,78.7,73.3,38.8,90.8,64.2,78.2,38.6,63.8,31.3
162,"Washington County, Iowa",70.4,58.5,71.7,63.9,55.3,71.8,46.6,74.7,70.7,66.6,75.8
163,"Cuming County, Nebraska",70.4,53.1,66.4,60.4,64.9,57.2,63.6,79.7,69.1,78.1,60.3
164,"Goochland County, Virginia",70.3,86.6,44.8,78.0,60.6,60.6,60.5,79.0,54.2,63.0,56.4
165,"Nemaha County, Kansas",70.3,55.9,60.5,60.3,59.7,56.9,67.3,80.8,81.0,67.8,63.4
166,"Missoula County, Montana",70.3,60.1,54.6,64.1,67.0,69.5,67.2,84.7,44.6,55.4,83.3
167,"Barnstable County, Massachusetts",70.3,68.1,60.4,70.7,64.9,50.4,61.7,82.6,51.3,58.9,74.7
168,"Warren County, New York",70.2,51.0,80.7,59.4,66.0,74.7,49.9,80.6,47.1,79.6,60.4
169,"Goodhue County, Minnesota",70.2,61.2,62.2,71.2,63.1,74.3,51.1,71.0,59.7,71.0,68.5
170,"Orange County, Vermont",70.2,66.1,72.7,63.9,61.1,68.8,68.8,74.3,49.9,67.8,53.2
171,"Door County, Wisconsin",70.1,77.6,54.2,61.1,42.3,74.8,54.8,86.2,56.2,76.9,66.6
172,"Boone County, Iowa",70.1,61.3,63.4,68.0,67.7,70.5,47.3,70.9,58.7,66.0,80.2
173,"Chester County, Pennsylvania",70.1,60.1,38.0,84.1,84.6,50.5,53.0,79.1,55.2,71.1,71.2
174,"Stanton County, Nebraska",70.1,56.6,74.2,73.5,50.7,52.9,32.8,75.9,83.3,76.3,72.9
175,"Poquoson city, Virginia",70.0,66.2,72.2,72.8,72.7,50.2,35.4,77.8,40.0,85.3,69.0
176,"Saunders County, Nebraska",70.0,64.2,70.4,65.8,56.8,60.8,46.3,76.8,62.0,74.1,71.0
177,"Box Elder County, Utah",69.9,50.0,74.1,65.1,46.3,82.4,51.4,76.5,68.6,57.8,81.5
178,"Butler County, Iowa",69.9,59.8,66.2,61.6,65.0,57.2,30.7,71.1,80.9,88.0,76.3
179,"Archuleta County, Colorado",69.9,76.9,57.4,62.8,14.4,91.9,73.1,88.1,44.0,71.1,69.6
180,"Somervell County, Texas",69.9,67.2,100.0,55.8,76.5,56.6,59.3,63.7,45.8,58.9,58.1
181,"Boone County, Indiana",69.8,76.9,45.8,82.5,72.2,54.7,49.5,64.9,59.1,68.2,74.5
