Rank,Community,Score,Vitality,Equity,Economy,Eduation,Environment,Food & Nutrition,Population Health,Housing,Public Safety,Infrastructure
475,"Clark County, Washington",61.7,54.3,55.1,67.0,52.3,64.4,53.0,76.8,47.4,62.3,70.3
476,"Snohomish County, Washington",61.7,51.3,50.9,78.3,56.2,40.1,62.3,78.9,46.1,64.6,66.7
477,"Davison County, South Dakota",61.7,39.2,56.2,62.7,54.3,80.4,30.8,83.7,64.1,53.9,83.5
478,"Atchison County, Missouri",61.7,54.5,61.6,58.7,65.9,60.3,36.1,61.4,71.5,81.5,60.6
479,"Greene County, Iowa",61.6,69.4,67.8,58.6,55.9,58.5,30.1,64.2,66.2,66.0,69.7
480,"Marion County, Kansas",61.6,56.1,70.4,53.6,46.8,51.4,60.8,73.8,53.0,67.0,69.9
481,"San Francisco County, California",61.6,36.7,24.6,82.8,70.7,60.7,82.0,96.5,30.7,52.2,56.1
482,"Box Butte County, Nebraska",61.6,40.3,71.6,55.6,61.8,67.4,36.5,65.0,61.9,63.0,90.2
483,"Laramie County, Wyoming",61.5,52.2,52.5,69.3,62.6,74.8,42.1,60.4,56.2,61.2,80.6
484,"Walsh County, North Dakota",61.5,55.3,70.1,55.7,44.6,69.7,48.5,65.1,74.9,63.4,62.1
485,"Sheridan County, Nebraska",61.5,52.8,61.9,48.5,60.8,78.3,61.4,73.3,55.6,59.6,55.9
486,"Republic County, Kansas",61.5,59.9,57.6,51.0,50.2,54.9,65.5,78.5,77.3,53.1,55.3
487,"Guadalupe County, Texas",61.5,65.8,58.3,72.9,63.6,43.7,36.8,65.2,55.4,67.6,70.3
488,"Carbon County, Montana",61.5,77.0,58.2,51.1,20.2,78.8,64.6,74.9,61.8,59.2,60.8
489,"Columbia County, New York",61.5,54.3,51.8,64.0,45.4,64.6,73.8,69.4,48.9,76.3,57.7
490,"Henry County, Ohio",61.4,53.6,74.1,56.2,62.4,58.7,41.6,62.9,63.7,62.5,71.0
491,"Rooks County, Kansas",61.4,56.6,58.5,51.8,53.7,63.7,48.4,67.4,69.2,76.3,66.3
492,"Price County, Wisconsin",61.4,61.9,67.3,52.0,44.4,79.7,62.8,72.6,55.0,65.7,42.2
493,"Ward County, North Dakota",61.4,40.8,62.7,69.8,56.3,66.5,31.3,76.6,61.3,67.2,70.6
494,"Waupaca County, Wisconsin",61.4,56.1,76.2,55.2,41.7,70.6,42.5,74.8,62.5,62.4,60.2
495,"Crow Wing County, Minnesota",61.4,62.1,68.5,61.7,43.1,70.7,53.0,75.2,44.8,53.9,65.2
496,"Winnebago County, Wisconsin",61.3,45.2,59.8,70.3,54.0,50.4,28.2,81.5,58.6,68.0,83.9
497,"Clay County, Minnesota",61.3,51.9,50.3,70.0,61.6,66.8,42.1,63.6,54.9,67.4,80.7
498,"Waseca County, Minnesota",61.3,54.5,51.7,60.7,58.1,76.8,38.1,67.5,50.0,80.9,73.1
499,"Yankton County, South Dakota",61.3,47.7,51.7,66.4,55.5,56.6,30.7,89.8,69.9,54.1,76.2
500,"Inyo County, California",61.3,46.2,47.8,52.5,56.3,80.9,72.9,70.7,53.6,61.6,70.5
